Date,Con,Lab,Lib Dem,SNP,Green,Reform
11 Nov 2022,26%,49%,7%,3%,5%,9%
10 Nov 2022,28%,49%,11%,3%,4%,4%
10 Nov 2022,25%,48%,10%,5%,5%,5%
10 Nov 2022,30%,49%,8%,4%,4%,-
9 Nov 2022,21%,42%,9%,5%,9%,8%
7 Nov 2022,29%,47%,9%,4%,5%,3%
6 Nov 2022,27%,48%,10%,4%,3%,5%
4 Nov 2022,27%,51%,7%,4%,4%,6%
4 Nov 2022,28%,46%,8%,4%,6%,-
3 Nov 2022,30%,47%,12%,3%,3%,4%
3 Nov 2022,29%,49%,9%,4%,4%,-
3 Nov 2022,27%,50%,7%,4%,3%,3%
2 Nov 2022,24%,50%,9%,4%,5%,6%
1 Nov 2022,21%,47%,10%,5%,5%,5%
31 Oct 2022,26%,51%,9%,4%,4%,3%
31 Oct 2022,25%,49%,9%,4%,5%,4%
30 Oct 2022,27%,50%,9%,4%,5%,3%
30 Oct 2022,29%,49%,8%,4%,4%,4%
28 Oct 2022,25%,53%,7%,4%,4%,6%
28 Oct 2022,28%,44%,10%,4%,5%,-
27 Oct 2022,26%,50%,10%,4%,5%,-
27 Oct 2022,27%,51%,8%,5%,2%,3%
26 Oct 2022,20%,51%,9%,5%,5%,7%
26 Oct 2022,23%,55%,9%,4%,5%,4%
26 Oct 2022,23%,51%,9%,5%,4%,6%
26 Oct 2022,26%,49%,10%,4%,5%,5%
26 Oct 2022,23%,53%,10%,4%,4%,4%
23 Oct 2022,21%,54%,11%,3%,4%,4%
23 Oct 2022,25%,51%,10%,4%,5%,3%
23 Oct 2022,25%,51%,8%,4%,2%,-
22 Oct 2022,22%,56%,10%,4%,4%,3%
21 Oct 2022,26%,51%,8%,5%,3%,3%
21 Oct 2022,19%,56%,10%,4%,4%,5%
21 Oct 2022,23%,50%,9%,3%,6%,-
20 Oct 2022,14%,53%,11%,5%,6%,5%
20 Oct 2022,22%,57%,7%,4%,4%,3%
20 Oct 2022,22%,53%,11%,4%,5%,-
19 Oct 2022,19%,55%,12%,4%,4%,4%
19 Oct 2022,23%,52%,11%,4%,3%,2%
17 Oct 2022,23%,55%,7%,4%,4%,3%
16 Oct 2022,20%,56%,11%,4%,5%,2%
16 Oct 2022,22%,52%,11%,4%,2%,-
14 Oct 2022,28%,49%,10%,3%,5%,2%
13 Oct 2022,24%,53%,13%,4%,3%,2%
13 Oct 2022,25%,49%,11%,4%,6%,-
12 Oct 2022,19%,53%,8%,6%,6%,4%
12 Oct 2022,23%,51%,9%,5%,7%,3%
12 Oct 2022,26%,47%,10%,4%,8%,2%
9 Oct 2022,25%,54%,10%,3%,4%,3%
9 Oct 2022,23%,51%,10%,4%,4%,-
7 Oct 2022,22%,52%,9%,5%,6%,5%
7 Oct 2022,26%,51%,9%,4%,4%,2%
7 Oct 2022,24%,51%,10%,3%,5%,4%
7 Oct 2022,26%,47%,11%,3%,6%,-
6 Oct 2022,20%,52%,8%,5%,7%,4%
6 Oct 2022,26%,48%,10%,4%,6%,-
5 Oct 2022,24%,52%,10%,4%,5%,3%
2 Oct 2022,24%,52%,10%,5%,5%,3%
 2 Oct 2022,25%,50%,11%,3%,3%,-
30 Sep 2022,27%,46%,9%,4%,6%,-
30 Sep 2022,23%,55%,7%,5%,5%,3%
29 Sep 2022,20%,50%,9%,5%,8%,3%
29 Sep 2022,28%,49%,10%,5%,1%,2%
29 Sep 2022,27%,47%,11%,4%,6%,-
29 Sep 2022,21%,54%,7%,5%,6%,4%
29 Sep 2022,29%,46%,13%,3%,4%,4%
29 Sep 2022,30%,47%,9%,4%,5%,3%
29 Sep 2022,29%,48%,9%,4%,4%,2%
27 Sep 2022,27%,45%,10%,5%,7%,3%
26 Sep 2022,32%,44%,10%,4%,5%,4%
26 Sep 2022,35%,39%,10%,5%,4%,3%
25 Sep 2022,31%,44%,11%,4%,6%,2%
25 Sep 2022,29%,43%,12%,5%,4%,-
25 Sep 2022,28%,45%,9%,4%,7%,3%
25 Sep 2022,31%,44%,12%,4%,4%,2%
23 Sep 2022,34%,39%,10%,4%,7%,-
22 Sep 2022,32%,40%,9%,5%,8%,3%
22 Sep 2022,34%,41%,11%,4%,5%,-
21 Sep 2022,32%,42%,12%,4%,5%,4%
21 Sep 2022,28%,40%,10%,6%,8%,4%
20 Sep 2022,32%,42%,10%,4%,6%,2%
18 Sep 2022,34%,42%,10%,4%,5%,3%
16 Sep 2022,33%,45%,10%,-,4%,3%
15 Sep 2022,35%,41%,10%,4%,5%,-
15 Sep 2022,30%,40%,13%,5%,8%,1%
13 Sep 2022,28%,40%,10%,4%,6%,5%
12 Sep 2022,32%,42%,10%,4%,7%,2%
12 Sep 2022,32%,44%,9%,4%,4%,2%
11 Sep 2022,35%,42%,10%,4%,3%,3%
8 Sep 2022,34%,42%,11%,4%,4%,-
7 Sep 2022,28%,40%,9%,5%,7%,4%
7 Sep 2022,30%,42%,14%,5%,6%,2%
7 Sep 2022,29%,44%,10%,5%,7%,3%
4 Sep 2022,31%,43%,12%,5%,6%,3%
2 Sep 2022,34%,38%,12%,4%,6%,-
2 Sep 2022,32%,42%,12%,4%,5%,-
 2 Sep 2022,31%,42%,10%,5%,6%,3%
 1 Sep 2022,28%,43%,11%,5%,6%,3%
31 Aug 2022,33%,43%,11%,4%,3%,5%
31 Aug 2022,31%,42%,12%,4%,7%,3%
30 Aug 2022,25%,42%,10%,5%,7%,4%
30 Aug 2022,31%,44%,12%,4%,4%,2%
28 Aug 2022,33%,42%,13%,3%,4%,4%
25 Aug 2022,33%,41%,11%,4%,6%,-
25 Aug 2022,33%,42%,12%,4%,5%,2%
24 Aug 2022,31%,39%,11%,5%,7%,5%
22 Aug 2022,26%,40%,11%,6%,6%,5%
22 Aug 2022,31%,43%,11%,5%,6%,2%
22 Aug 2022,33%,40%,14%,4%,6%,2%
21 Aug 2022,31%,43%,13%,5%,5%,3%
19 Aug 2022,31%,39%,10%,3%,7%,-
18 Aug 2022,32%,42%,11%,5%,4%,3%
17 Aug 2022,28%,43%,11%,5%,7%,4%
14 Aug 2022,34%,41%,12%,4%,5%,3%
12 Aug 2022,35%,39%,12%,4%,5%,-
8 Aug 2022,35%,40%,12%,4%,5%,3%
8 Aug 2022,34%,37%,12%,4%,6%,-
5 Aug 2022,33%,37%,11%,5%,8%,3%
4 Aug 2022,32%,40%,13%,4%,4%,4%
4 Aug 2022,34%,39%,13%,4%,5%,-
 1 Aug 2022,32%,36%,13%,6%,8%,4%
31 Jul 2022,34%,38%,11%,4%,7%,4%
28 Jul 2022,34%,35%,13%,5%,7%,3%
28 Jul 2022,33%,40%,12%,4%,6%,-
27 Jul 2022,33%,41%,11%,4%,5%,4%
27 Jul 2022,30%,44%,10%,5%,8%,1%
24 Jul 2022,34%,40%,12%,4%,5%,3%
24 Jul 2022,29%,42%,12%,3%,4%,4%
23 Jul 2022,31%,42%,10%,4%,6%,3%
22 Jul 2022,32%,39%,12%,4%,8%,4%
22 Jul 2022,34%,37%,13%,3%,7%,-
21 Jul 2022,32%,41%,12%,4%,6%,-
21 Jul 2022,33%,44%,9%,3%,3%,3%
21 Jul 2022,35%,44%,9%,3%,5%,3%
18 Jul 2022,33%,37%,13%,4%,7%,4%
17 Jul 2022,32%,42%,12%,4%,5%,3%
17 Jul 2022,30%,43%,11%,4%,4%,3%
14 Jul 2022,31%,40%,13%,4%,6%,-
14 Jul 2022,29%,40%,13%,4%,7%,4%
14 Jul 2022,31%,42%,12%,4%,6%,3%
12 Jul 2022,25%,46%,8%,5%,8%,5%
10 Jul 2022,31%,42%,12%,4%,5%,5%
10 Jul 2022,28%,43%,12%,4%,4%,3%
8 Jul 2022,33%,38%,12%,3%,6%,-
7 Jul 2022,29%,41%,14%,4%,6%,-
7 Jul 2022,31%,43%,12%,3%,7%,2%
7 Jul 2022,29%,40%,15%,5%,6%,3%
3 Jul 2022,35%,41%,11%,3%,5%,5%
3 Jul 2022,32%,41%,11%,4%,3%,4%
 1 Jul 2022,27%,47%,9%,4%,6%,4%
 1 Jul 2022,32%,42%,11%,4%,4%,4%
30 Jun 2022,33%,39%,13%,4%,5%,-
30 Jun 2022,32%,40%,13%,5%,5%,3%
29 Jun 2022,33%,36%,13%,5%,6%,3%
29 Jun 2022,30%,41%,15%,5%,6%,1%
27 Jun 2022,35%,43%,11%,3%,2%,-
26 Jun 2022,33%,41%,15%,4%,4%,3%
26 Jun 2022,34%,41%,10%,5%,5%,1%
24 Jun 2022,34%,37%,11%,4%,6%,-
23 Jun 2022,34%,39%,9%,4%,8%,4%
23 Jun 2022,32%,38%,14%,4%,6%,-
22 Jun 2022,32%,41%,13%,4%,5%,4%
20 Jun 2022,34%,36%,13%,4%,5%,4%
19 Jun 2022,33%,40%,13%,4%,5%,5%
19 Jun 2022,31%,42%,10%,4%,5%,3%
16 Jun 2022,33%,39%,13%,4%,5%,-
16 Jun 2022,33%,39%,10%,4%,6%,4%
15 Jun 2022,34%,42%,12%,3%,4%,3%
12 Jun 2022,32%,39%,15%,5%,6%,2%
12 Jun 2022,34%,40%,10%,4%,4%,2%
10 Jun 2022,34%,41%,10%,4%,3%,-
10 Jun 2022,33%,39%,12%,4%,6%,-
10 Jun 2022,34%,36%,13%,3%,6%,-
9 Jun 2022,32%,39%,11%,5%,7%,3%
9 Jun 2022,32%,40%,13%,4%,5%,4%
5 Jun 2022,34%,38%,11%,4%,7%,4%
3 Jun 2022,32%,36%,12%,5%,8%,4%
1 Jun 2022,33%,39%,12%,4%,6%,4%
 1 Jun 2022,32%,40%,12%,4%,6%,-
31 May 2022,25%,48%,9%,4%,6%,5%
29 May 2022,36%,43%,10%,3%,5%,3%
29 May 2022,31%,42%,11%,4%,3%,3%
27 May 2022,33%,36%,11%,4%,8%,-
26 May 2022,29%,44%,8%,4%,5%,5%
26 May 2022,33%,40%,11%,4%,6%,-
25 May 2022,31%,40%,14%,4%,5%,3%
25 May 2022,31%,39%,12%,4%,7%,4%
23 May 2022,32%,38%,13%,3%,8%,3%
22 May 2022,33%,39%,12%,4%,5%,4%
19 May 2022,34%,40%,10%,4%,4%,2%
19 May 2022,35%,39%,10%,4%,6%,-
19 May 2022,31%,39%,12%,5%,7%,4%
18 May 2022,33%,39%,12%,4%,4%,5%
17 May 2022,33%,39%,12%,5%,5%,1%
15 May 2022,35%,39%,12%,4%,6%,3%
15 May 2022,34%,41%,10%,4%,4%,2%
13 May 2022,34%,37%,12%,4%,7%,-
12 May 2022,34%,39%,11%,4%,6%,-
11 May 2022,33%,38%,12%,4%,6%,3%
8 May 2022,33%,39%,12%,5%,7%,2%
8 May 2022,34%,39%,11%,4%,3%,3%
6 May 2022,35%,36%,10%,5%,8%,3%
5 May 2022,34%,40%,10%,4%,5%,-
1 May 2022,33%,41%,12%,4%,5%,3%
 1 May 2022,35%,41%,9%,4%,4%,3%
28 Apr 2022,35%,40%,9%,4%,6%,-
28 Apr 2022,35%,40%,10%,5%,7%,1%
27 Apr 2022,33%,39%,11%,5%,6%,3%
26 Apr 2022,33%,42%,9%,4%,4%,2%
26 Apr 2022,35%,37%,10%,-,7%,-
24 Apr 2022,34%,42%,11%,4%,4%,4%
24 Apr 2022,34%,40%,11%,4%,3%,3%
22 Apr 2022,34%,36%,10%,4%,8%,-
21 Apr 2022,34%,40%,10%,4%,5%,-
20 Apr 2022,33%,39%,9%,4%,8%,3%
17 Apr 2022,34%,42%,10%,5%,5%,3%
14 Apr 2022,32%,43%,9%,5%,6%,2%
14 Apr 2022,33%,38%,10%,4%,7%,5%
13 Apr 2022,34%,41%,9%,4%,5%,-
11 Apr 2022,34%,37%,11%,5%,7%,4%
10 Apr 2022,34%,42%,8%,4%,5%,4%
10 Apr 2022,34%,40%,9%,4%,4%,3%
8 Apr 2022,25%,49%,6%,4%,6%,3%
8 Apr 2022,34%,38%,10%,4%,7%,-
7 Apr 2022,35%,40%,10%,4%,4%,-
7 Apr 2022,34%,37%,10%,4%,7%,4%
3 Apr 2022,36%,42%,9%,3%,4%,3%
3 Apr 2022,33%,40%,11%,5%,4%,3%
31 Mar 2022,36%,39%,9%,5%,5%,-
30 Mar 2022,33%,37%,9%,6%,6%,5%
30 Mar 2022,35%,42%,9%,4%,3%,2%
27 Mar 2022,35%,37%,9%,6%,5%,5%
27 Mar 2022,35%,39%,11%,5%,3%,3%
25 Mar 2022,36%,38%,9%,4%,7%,-
24 Mar 2022,35%,37%,10%,4%,7%,4%
24 Mar 2022,35%,40%,10%,4%,5%,-
23 Mar 2022,35%,36%,9%,4%,8%,5%
21 Mar 2022,36%,36%,12%,3%,6%,3%
20 Mar 2022,35%,40%,11%,4%,7%,2%
17 Mar 2022,35%,39%,10%,4%,6%,-
17 Mar 2022,33%,39%,10%,5%,7%,4%
16 Mar 2022,35%,39%,10%,5%,7%,-
13 Mar 2022,36%,39%,10%,4%,6%,4%
13 Mar 2022,35%,40%,9%,4%,3%,3%
11 Mar 2022,35%,37%,9%,4%,7%,-
11 Mar 2022,34%,40%,10%,5%,5%,2%
10 Mar 2022,36%,38%,9%,4%,6%,-
9 Mar 2022,33%,39%,10%,4%,7%,4%
7 Mar 2022,37%,40%,10%,4%,5%,2%
7 Mar 2022,37%,40%,9%,5%,5%,-
6 Mar 2022,34%,41%,9%,5%,4%,3%
4 Mar 2022,35%,37%,7%,5%,8%,5%
3 Mar 2022,35%,38%,10%,4%,6%,-
28 Feb 2022,35%,38%,12%,5%,5%,4%
28 Feb 2022,35%,42%,8%,5%,6%,2%
27 Feb 2022,34%,42%,9%,4%,3%,3%
25 Feb 2022,34%,39%,9%,5%,6%,5%
25 Feb 2022,34%,38%,11%,4%,6%,-
24 Feb 2022,35%,39%,9%,4%,6%,-
23 Feb 2022,27%,46%,8%,5%,7%,4%
21 Feb 2022,33%,39%,11%,5%,7%,4%
21 Feb 2022,34%,39%,12%,4%,6%,2%
21 Feb 2022,35%,42%,9%,4%,3%,2%
20 Feb 2022,33%,40%,11%,4%,5%,3%
18 Feb 2022,32%,38%,13%,5%,7%,4%
17 Feb 2022,34%,39%,10%,4%,6%,-
17 Feb 2022,34%,38%,10%,4%,6%,4%
14 Feb 2022,33%,38%,11%,4%,6%,5%
13 Feb 2022,32%,41%,11%,4%,4%,3%
11 Feb 2022,34%,37%,10%,5%,8%,4%
11 Feb 2022,34%,37%,11%,3%,6%,-
9 Feb 2022,33%,41%,9%,4%,6%,-
7 Feb 2022,32%,42%,9%,4%,6%,4%
6 Feb 2022,33%,42%,9%,4%,5%,3%
4 Feb 2022,34%,41%,10%,4%,5%,2%
2 Feb 2022,32%,40%,10%,4%,6%,-
2 Feb 2022,32%,41%,10%,5%,6%,4%
31 Jan 2022,33%,40%,11%,4%,6%,3%
30 Jan 2022,33%,44%,9%,4%,3%,3%
28 Jan 2022,31%,38%,12%,4%,6%,2%
28 Jan 2022,34%,39%,9%,5%,5%,-
27 Jan 2022,28%,48%,7%,5%,6%,4%
27 Jan 2022,32%,38%,11%,5%,7%,3%
27 Jan 2022,32%,42%,10%,5%,6%,1%
25 Jan 2022,35%,40%,10%,5%,3%,3%
25 Jan 2022,31%,40%,13%,4%,9%,1%
24 Jan 2022,34%,41%,11%,5%,5%,3%
24 Jan 2022,34%,38%,11%,5%,7%,2%
23 Jan 2022,32%,40%,11%,5%,4%,3%
23 Jan 2022,32%,42%,10%,5%,7%,2%
21 Jan 2022,32%,39%,8%,5%,8%,4%
20 Jan 2022,27%,45%,8%,5%,7%,4%
17 Jan 2022,30%,43%,9%,4%,7%,4%
17 Jan 2022,33%,43%,10%,4%,3%,2%
16 Jan 2022,32%,41%,11%,5%,4%,3%
16 Jan 2022,32%,41%,11%,5%,5%,2%
14 Jan 2022,32%,42%,11%,4%,4%,2%
14 Jan 2022,31%,39%,11%,5%,6%,5%
14 Jan 2022,31%,41%,9%,4%,6%,-
13 Jan 2022,27%,41%,11%,5%,8%,5%
13 Jan 2022,29%,40%,11%,5%,6%,6%
13 Jan 2022,33%,42%,11%,3%,4%,3%
12 Jan 2022,28%,38%,13%,5%,7%,4%
10 Jan 2022,35%,39%,12%,4%,5%,4%
9 Jan 2022,33%,37%,11%,5%,4%,4%
7 Jan 2022,33%,37%,10%,5%,6%,5%
7 Jan 2022,34%,39%,11%,4%,5%,-
3 Jan 2022,35%,38%,10%,5%,5%,4%
30 Dec 2021,35%,40%,10%,5%,4%,3%
28 Dec 2021,32%,37%,11%,4%,4%,-
23 Dec 2021,32%,39%,11%,5%,6%,-
21 Dec 2021,34%,41%,9%,4%,4%,4%
21 Dec 2021,32%,40%,10%,3%,7%,6%
20 Dec 2021,31%,39%,13%,5%,6%,5%
20 Dec 2021,30%,36%,12%,6%,8%,5%
19 Dec 2021,32%,37%,13%,4%,5%,4%
16 Dec 2021,34%,38%,10%,5%,4%,4%
15 Dec 2021,30%,38%,10%,2%,10%,7%
15 Dec 2021,32%,37%,10%,5%,7%,6%
14 Dec 2021,34%,40%,8%,5%,4%,2%
13 Dec 2021,32%,37%,11%,4%,7%,7%
13 Dec 2021,34%,38%,11%,3%,7%,3%
13 Dec 2021,31%,38%,8%,5%,8%,6%
11 Dec 2021,32%,39%,9%,5%,5%,4%
10 Dec 2021,32%,40%,8%,4%,7%,7%
10 Dec 2021,33%,39%,9%,5%,4%,4%
10 Dec 2021,32%,41%,9%,5%,5%,-
10 Dec 2021,34%,39%,11%,5%,7%,2%
9 Dec 2021,33%,41%,7%,5%,6%,6%
9 Dec 2021,33%,37%,9%,5%,7%,6%
9 Dec 2021,34%,40%,10%,4%,4%,3%
8 Dec 2021,34%,38%,11%,4%,6%,5%
6 Dec 2021,38%,36%,9%,4%,6%,4%
5 Dec 2021,38%,37%,9%,4%,5%,2%
4 Dec 2021,37%,38%,10%,5%,5%,2%
2 Dec 2021,36%,33%,9%,5%,9%,6%
 1 Dec 2021,36%,39%,9%,5%,3%,3%
 1 Dec 2021,36%,35%,11%,5%,8%,3%
29 Nov 2021,38%,36%,10%,4%,6%,4%
28 Nov 2021,37%,37%,8%,5%,5%,4%
26 Nov 2021,36%,38%,8%,5%,6%,-
25 Nov 2021,36%,35%,7%,5%,8%,6%
22 Nov 2021,39%,36%,10%,4%,5%,2%
21 Nov 2021,37%,37%,9%,4%,6%,3%
21 Nov 2021,36%,38%,10%,4%,5%,3%
19 Nov 2021,38%,39%,9%,4%,6%,-
18 Nov 2021,36%,34%,7%,4%,10%,5%
15 Nov 2021,36%,37%,10%,4%,5%,4%
15 Nov 2021,37%,37%,10%,5%,4%,2%
12 Nov 2021,34%,40%,10%,5%,5%,3%
12 Nov 2021,36%,37%,9%,5%,7%,-
11 Nov 2021,35%,35%,8%,5%,10%,4%
10 Nov 2021,36%,38%,10%,4%,6%,3%
8 Nov 2021,30%,42%,6%,5%,8%,5%
8 Nov 2021,37%,36%,10%,5%,6%,5%
8 Nov 2021,36%,35%,11%,4%,8%,2%
7 Nov 2021,38%,35%,10%,5%,4%,3%
6 Nov 2021,37%,36%,9%,5%,6%,-
5 Nov 2021,40%,37%,8%,3%,6%,2%
4 Nov 2021,35%,41%,5%,5%,7%,5%
4 Nov 2021,36%,35%,8%,5%,9%,5%
 4 Nov 2021,35%,36%,9%,5%,11%,1%
1 Nov 2021,40%,35%,10%,4%,6%,3%
31 Oct 2021,40%,35%,9%,5%,4%,3%
29 Oct 2021,40%,35%,8%,5%,7%,-
28 Oct 2021,39%,33%,8%,5%,10%,3%
25 Oct 2021,39%,36%,10%,4%,6%,4%
24 Oct 2021,37%,35%,8%,5%,7%,4%
21 Oct 2021,37%,33%,9%,5%,10%,4%
18 Oct 2021,40%,37%,9%,4%,5%,3%
18 Oct 2021,39%,34%,8%,5%,8%,2%
18 Oct 2021,40%,32%,6%,6%,9%,3%
17 Oct 2021,40%,35%,8%,4%,5%,3%
15 Oct 2021,38%,37%,9%,4%,6%,2%
15 Oct 2021,41%,37%,7%,5%,5%,-
13 Oct 2021,41%,31%,9%,4%,8%,4%
12 Oct 2021,37%,34%,7%,6%,8%,4%
11 Oct 2021,40%,36%,9%,4%,6%,4%
10 Oct 2021,40%,35%,8%,5%,5%,2%
7 Oct 2021,39%,35%,9%,4%,5%,3%
6 Oct 2021,39%,31%,9%,6%,9%,4%
5 Oct 2021,34%,39%,7%,5%,8%,4%
4 Oct 2021,40%,37%,10%,4%,4%,3%
3 Oct 2021,40%,35%,9%,5%,4%,3%
 1 Oct 2021,39%,35%,8%,6%,6%,-
29 Sep 2021,41%,36%,8%,5%,5%,-
29 Sep 2021,39%,31%,8%,5%,9%,4%
27 Sep 2021,41%,35%,10%,4%,5%,3%
27 Sep 2021,43%,30%,11%,4%,6%,3%
23 Sep 2021,39%,32%,10%,4%,9%,3%
23 Sep 2021,39%,36%,9%,6%,6%,0%
22 Sep 2021,40%,35%,8%,4%,4%,-
20 Sep 2021,41%,35%,8%,4%,7%,3%
19 Sep 2021,40%,35%,9%,4%,5%,2%
17 Sep 2021,40%,37%,7%,5%,6%,-
16 Sep 2021,39%,35%,7%,5%,7%,3%
16 Sep 2021,41%,36%,10%,4%,5%,-
14 Sep 2021,40%,36%,9%,4%,5%,-
13 Sep 2021,39%,35%,9%,4%,6%,5%
12 Sep 2021,39%,35%,9%,4%,6%,3%
11 Sep 2021,38%,38%,8%,5%,6%,-
9 Sep 2021,33%,35%,10%,5%,9%,5%
8 Sep 2021,37%,33%,12%,5%,8%,4%
8 Sep 2021,34%,39%,9%,5%,6%,3%
6 Sep 2021,41%,32%,11%,4%,6%,4%
5 Sep 2021,40%,36%,9%,4%,4%,3%
3 Sep 2021,38%,34%,8%,5%,10%,3%
3 Sep 2021,41%,33%,9%,3%,7%,3%
3 Sep 2021,40%,35%,7%,6%,6%,-
29 Aug 2021,41%,33%,9%,4%,5%,4%
29 Aug 2021,40%,34%,10%,4%,5%,2%
26 Aug 2021,39%,31%,8%,5%,9%,4%
23 Aug 2021,43%,33%,10%,3%,6%,3%
23 Aug 2021,37%,34%,14%,4%,5%,2%
22 Aug 2021,41%,34%,9%,4%,4%,2%
20 Aug 2021,39%,36%,8%,6%,6%,-
18 Aug 2021,40%,32%,9%,5%,8%,3%
16 Aug 2021,40%,36%,10%,5%,5%,3%
15 Aug 2021,41%,34%,9%,4%,4%,2%
12 Aug 2021,40%,32%,9%,5%,7%,2%
9 Aug 2021,40%,37%,9%,4%,6%,3%
 9 Aug 2021,41%,30%,13%,6%,8%,0%
8 Aug 2021,41%,33%,10%,4%,4%,2%
6 Aug 2021,42%,35%,7%,6%,5%,-
6 Aug 2021,41%,33%,8%,5%,7%,3%
2 Aug 2021,41%,34%,11%,4%,6%,3%
 1 Aug 2021,40%,34%,10%,4%,6%,1%
29 Jul 2021,39%,34%,8%,4%,9%,3%
26 Jul 2021,42%,37%,6%,3%,6%,2%
25 Jul 2021,40%,36%,9%,4%,6%,4%
25 Jul 2021,40%,34%,10%,4%,4%,2%
23 Jul 2021,39%,37%,10%,4%,5%,-
23 Jul 2021,43%,35%,8%,5%,5%,-
21 Jul 2021,38%,34%,9%,5%,8%,3%
20 Jul 2021,39%,35%,11%,4%,5%,-
19 Jul 2021,42%,33%,10%,4%,5%,3%
18 Jul 2021,41%,34%,8%,4%,5%,2%
16 Jul 2021,44%,31%,8%,4%,6%,3%
13 Jul 2021,43%,32%,9%,5%,6%,-
12 Jul 2021,41%,33%,12%,4%,6%,3%
12 Jul 2021,44%,31%,12%,6%,4%,1%
11 Jul 2021,40%,35%,9%,4%,6%,2%
9 Jul 2021,43%,35%,6%,5%,6%,-
8 Jul 2021,42%,30%,9%,5%,7%,2%
8 Jul 2021,40%,31%,13%,6%,6%,0%
5 Jul 2021,43%,34%,8%,4%,6%,4%
4 Jul 2021,41%,35%,8%,3%,4%,3%
 2 Jul 2021,44%,33%,10%,5%,5%,-
30 Jun 2021,42%,31%,10%,5%,6%,3%
28 Jun 2021,41%,34%,9%,5%,5%,3%
27 Jun 2021,42%,33%,9%,4%,5%,2%
26 Jun 2021,41%,35%,10%,3%,5%,-
25 Jun 2021,43%,35%,7%,5%,5%,-
24 Jun 2021,42%,30%,9%,5%,7%,4%
