Date,LPC,CPC,NDP,BQ,GPC,CA,PC
2004-05-27,38.0,30.0,18.0,11.0,,,
2004-05-27,40.0,31.0,16.0,10.0,3.0,,
2004-05-26,42.0,29.0,17.0,10.0,2.0,,
2004-05-25,41.0,28.0,18.0,11.0,3.0,,
2004-05-13,40.0,25.0,15.0,,,,
2004-05-06,38.0,26.0,16.0,,5.0,,
2004-04-28,40.0,23.0,18.0,11.0,5.0,,
2004-04-24,38.0,26.0,17.0,12.0,5.0,,
2004-04-18,39.0,29.0,19.0,11.0,,,
2004-04-08,35.0,28.0,18.0,10.0,5.0,,
2004-03-25,38.0,27.0,15.0,10.0,5.0,,
2004-03-22,38.0,26.0,16.0,13.0,,,
2004-03-07,38.0,26.0,17.0,12.0,4.0,,
2004-02-25,42.0,32.0,15.0,9.0,,,
2004-02-12,39.0,24.0,18.0,10.0,5.0,,
2004-01-29,48.0,23.0,15.0,11.0,3.0,,
2004-01-27,49.0,21.0,15.0,11.0,,,
2004-01-15,48.0,19.0,16.0,10.0,4.0,,
2003-12-29,51.0,24.0,15.0,8.0,,,
2003-11-27,43.0,,15.0,9.0,5.0,10.0,14.0
2003-11-09,49.0,,12.0,10.0,,12.0,16.0
2003-10-23,46.0,,11.0,8.0,4.0,11.0,15.0
2003-09-02,46.0,,15.0,8.0,,13.0,19.0
2003-06-09,54.0,,10.0,5.0,,11.0,17.0
2003-06-06,44.0,,14.0,8.0,,16.0,16.0
2003-06-05,45.0,,11.0,9.0,5.0,14.0,15.0
2003-05-25,55.0,,10.0,8.0,,12.0,14.0
2003-05-23,52.0,,10.0,7.0,,12.0,18.0
2003-04-17,50.0,,10.0,9.0,4.0,14.0,13.0
2003-03-27,44.0,,14.0,9.0,,16.0,15.0
2003-02-20,47.3,,17.2,7.6,,10.7,14.1
2003-02-11,48.0,,14.0,7.0,,13.0,16.0
2003-01-16,52.0,,14.0,7.0,,11.0,14.0
2003-01-14,43.0,,15.0,9.0,,17.0,15.0
2002-12-12,41.0,,12.0,8.0,6.0,16.0,17.0
2002-12-04,47.0,,11.0,8.0,,16.0,14.0
2002-11-03,49.0,,13.0,7.0,,12.0,16.0
2002-09-30,44.0,,13.0,9.0,4.0,15.0,15.0
2002-07-14,41.0,,13.0,8.0,,16.0,18.0
2002-07-02,46.0,,12.0,8.0,,18.0,12.0
2002-06-18,46.0,,14.0,7.0,,17.0,14.0
2002-06-20,43.0,,14.0,10.0,,17.0,10.0
2002-06-09,41.0,,9.0,10.0,,18.0,15.0
2002-06-06,50.0,,11.0,8.0,,17.0,13.0
2002-05-30,43.0,,13.0,10.0,,18.0,15.0
2002-05-29,46.0,,13.0,8.0,,17.0,13.0
2002-04-24,49.0,,10.0,6.0,,19.0,16.0
2002-03-28,45.0,,10.0,10.0,,15.0,15.0
2002-03-24,44.0,,10.0,9.0,,13.0,16.0
2002-02-21,47.0,,10.0,10.0,,12.0,16.0
2001-12-12,54.0,,10.0,7.0,,11.0,16.0
2001-07-29,52.0,,9.0,8.0,,10.0,18.0
2001-07-23,49.0,,9.0,9.0,,11.0,20.0
2001-07-13,48.0,,9.0,9.0,,10.0,16.0
2001-06-10,46.0,,11.0,8.0,,13.0,20.0
2001-06-08,48.0,,9.0,10.0,,10.0,21.0
2001-05-31,50.0,,9.0,10.0,,11.0,16.0
2001-05-30,55.0,,7.0,5.0,,9.0,19.0
2001-05-27,50.0,,10.0,10.0,,11.0,17.0
2001-04-26,49.0,,11.0,9.0,,13.0,15.0
2001-04-24,43.0,,10.0,9.0,,19.0,15.0
2001-03-29,48.0,,7.0,9.0,,19.0,15.0
2001-03-10,44.0,,11.0,,,19.0,14.0
2001-01-31,49.0,,8.0,7.0,,21.0,13.0
2001-01-15,45.0,,10.0,8.0,,23.0,11.0
2000-11-27,40.85,,8.51,10.72,0.81,25.49,12.19
