Date,SNP,Con,Lab,Lib Dem,Green,Reform
2021-04-26,45.0,22.0,19.0,7.0,4.0,
2021-04-22,47.0,21.0,22.0,8.0,1.0,
2021-04-20,48.0,24.0,19.0,4.0,3.0,1.0
2021-04-06,50.0,24.0,19.0,4.0,1.0,
2021-03-30,49.0,21.0,21.0,8.0,1.0,
2021-03-22,49.0,24.0,17.0,4.0,4.0,1.0
2021-03-19,47.0,21.0,19.0,7.0,3.0,
2021-03-18,49.0,21.0,21.0,7.0,1.0,
2021-03-16,50.0,23.0,19.0,5.0,3.0,
2021-03-08,50.0,23.0,17.0,5.0,3.0,1.0
2021-02-26,48.0,23.0,21.0,6.0,,
2021-01-13,48.0,19.0,23.0,7.0,,
2020-12-09,51.0,20.0,21.0,6.0,3.0,
2020-11-11,50.0,21.0,20.0,5.0,2.0,
2020-11-10,53.0,19.0,17.0,4.0,3.0,3.0
2020-11-04,52.0,18.0,20.0,8.0,,
2020-09-21,56.0,18.0,15.0,7.0,3.0,
2020-09-07,51.0,20.0,21.0,6.0,,
2020-08-10,54.0,20.0,16.0,5.0,2.0,2.0
2020-07-03,53.0,21.0,19.0,6.0,,
2020-06-05,51.0,21.0,19.0,6.0,2.0,
2020-05-05,50.0,26.0,17.0,5.0,2.0,
2020-04-27,51.0,25.0,15.0,6.0,2.0,0.0
2020-03-26,48.0,27.0,16.0,5.0,3.0,
2019-12-12,45.0,25.1,18.6,9.5,1.0,0.5
