Date,Approve,Disapprove,Undecided
2024-05-01,27.0,64.0,10.0
2024-04-30,31.0,65.0,3.0
2024-04-29,30.4,68.0,1.5
2024-04-27,23.8,74.2,2.0
2024-04-26,30.2,66.9,2.8
2024-04-25,24.0,65.0,11.0
2024-04-19,32.3,64.3,3.4
2024-04-17,27.0,64.0,9.0
2024-04-18,23.0,68.0,8.0
2024-04-15,33.1,63.7,3.2
2024-04-15,31.8,65.3,3.0
2024-04-13,25.7,72.8,1.5
2024-04-12,32.6,63.6,3.8
2024-04-05,37.3,59.5,3.2
2024-04-03,33.0,62.0,5.0
2024-04-03,38.0,55.0,7.0
2024-04-02,33.0,62.0,5.0
2024-04-01,37.6,60.1,2.3
2024-03-31,38.0,61.0,1.0
2024-03-30,34.0,64.6,1.4
2024-03-29,36.3,60.7,3.1
2024-03-28,34.0,58.0,8.0
2024-03-25,39.3,58.7,2.0
2024-03-23,33.7,65.1,1.2
2024-03-22,36.5,60.1,3.4
2024-03-21,34.0,58.0,7.0
2024-03-20,36.0,56.0,8.0
2024-03-18,38.6,59.4,2.0
2024-03-18,40.0,58.1,1.9
2024-03-15,38.6,58.4,3.0
2024-03-14,36.0,57.0,6.0
2024-03-11,41.4,56.1,2.5
2024-03-09,34.8,63.5,1.7
2024-03-08,40.2,56.1,3.7
2024-03-07,39.0,54.0,6.0
2024-03-06,39.0,55.0,6.0
2024-03-04,40.7,57.1,2.2
2024-02-29,45.0,53.0,3.0
2024-02-29,39.0,53.0,7.0
2024-02-29,41.1,55.4,3.5
2024-02-24,37.1,61.1,1.8
2024-02-23,41.9,54.8,3.2
2024-02-22,34.0,58.0,7.0
2024-02-21,38.0,55.0,8.0
2024-02-19,42.1,54.8,3.2
2024-02-19,42.3,55.8,1.9
2024-02-17,34.8,64.0,1.2
2024-02-16,39.5,57.2,3.3
2024-02-15,33.0,58.0,8.0
2024-02-08,39.2,57.7,3.1
2024-02-07,37.0,56.0,7.0
2024-02-03,30.6,68.4,1.0
2024-02-02,37.3,59.4,3.3
2024-02-01,29.0,63.0,8.0
2024-01-31,36.0,60.0,3.0
2024-01-29,38.7,59.3,1.9
2024-01-27,31.4,67.8,0.8
2024-01-26,36.2,60.0,3.7
2024-01-25,31.0,63.0,7.0
2024-01-24,31.0,61.0,8.0
2024-01-20,30.5,68.0,1.5
2024-01-19,36.8,59.8,3.5
2024-01-18,32.0,58.0,9.0
2024-01-15,39.3,58.7,2.0
2024-01-13,33.2,64.6,2.2
2024-01-12,36.3,60.3,3.4
2024-01-11,33.0,59.0,8.0
2024-01-10,32.0,61.0,7.0
2024-01-08,41.3,56.7,1.9
2024-01-06,35.2,62.4,2.4
2024-01-05,35.7,60.8,3.5
2024-01-02,42.0,56.0,3.0
2024-01-01,40.9,57.6,1.5
2023-12-31,39.0,59.0,2.0
2023-12-30,35.0,59.0,5.0
2023-12-30,36.0,56.0,8.0
2023-12-29,37.2,59.6,3.2
2023-12-23,32.7,64.5,2.8
2023-12-22,36.3,60.8,2.9
2023-12-20,33.0,59.0,8.0
2023-12-18,38.9,59.7,1.5
2023-12-16,34.1,62.7,3.2
2023-12-15,36.3,61.2,2.5
2023-12-14,31.0,62.0,7.0
2023-12-11,40.7,56.7,2.6
2023-12-09,33.2,64.1,2.7
2023-12-08,37.4,59.2,3.4
2023-12-07,32.0,59.0,9.0
2023-12-06,32.0,60.0,8.0
2023-12-04,38.6,59.7,1.7
2023-12-02,33.7,63.9,2.4
2023-12-01,37.6,59.2,3.2
2023-11-30,41.0,57.0,2.0
2023-11-30,32.0,60.0,9.0
2023-11-25,33.7,63.6,2.7
2023-11-24,38.1,58.9,3.1
2023-11-23,33.0,59.0,8.0
2023-11-22,35.0,56.0,9.0
2023-11-20,38.8,59.1,2.1
2023-11-18,32.5,65.0,2.5
2023-11-17,35.6,61.8,2.6
2023-11-16,34.0,56.0,11.0
2023-11-13,38.3,58.7,3.0
2023-11-11,35.2,63.8,1.0
2023-11-10,34.7,62.2,3.1
2023-11-09,36.0,55.0,9.0
2023-11-08,34.0,60.0,6.0
2023-11-06,35.9,62.2,1.9
2023-11-04,33.7,63.9,2.4
2023-11-03,36.8,60.2,3.0
2023-11-02,34.0,58.0,9.0
2023-10-31,36.0,62.0,3.0
2023-10-28,32.3,65.9,1.8
2023-10-27,35.7,61.9,2.4
2023-10-26,33.0,58.0,9.0
2023-10-25,32.0,58.0,10.0
2023-10-23,32.6,65.4,2.0
2023-10-21,30.7,67.5,1.8
2023-10-20,32.5,64.1,3.4
2023-10-19,30.0,61.0,9.0
2023-10-14,32.4,65.1,2.5
2023-10-13,34.0,62.2,3.8
2023-10-12,33.0,58.0,9.0
2023-10-11,35.0,57.0,8.0
2023-10-09,37.6,59.8,2.6
2023-10-09,38.5,60.1,1.3
2023-10-07,35.7,62.5,1.8
2023-10-06,37.7,59.8,2.4
2023-10-03,40.9,56.8,2.3
2023-09-30,41.0,57.0,1.0
2023-09-27,34.0,58.0,9.0
2023-09-27,36.0,61.1,2.9
2023-09-25,39.0,60.0,1.1
2023-09-23,35.0,62.3,2.7
2023-09-22,37.8,59.0,3.1
2023-09-21,32.0,59.0,8.0
2023-09-18,35.1,61.1,3.8
2023-09-16,34.2,62.9,2.9
2023-09-15,35.5,61.8,2.8
2023-09-14,31.0,60.0,10.0
2023-09-13,37.0,54.0,10.0
2023-09-11,38.9,59.5,1.6
2023-09-09,32.0,65.4,2.6
2023-09-08,36.7,59.9,3.5
2023-09-07,33.0,58.0,9.0
2023-09-02,32.5,65.9,1.6
2023-09-01,35.4,61.1,3.5
2023-08-31,39.0,58.0,3.0
2023-08-31,33.0,59.0,8.0
2023-08-30,33.0,59.0,8.0
2023-08-28,38.1,60.3,1.6
2023-08-26,29.4,68.3,2.3
2023-08-25,37.6,59.4,3.0
2023-08-24,34.0,57.0,10.0
2023-08-19,36.7,61.4,1.9
2023-08-18,35.6,61.2,3.2
2023-08-16,38.0,54.0,8.0
2023-08-14,35.8,62.7,1.5
2023-08-12,34.1,62.1,3.8
2023-08-11,38.3,59.0,2.7
2023-08-10,35.0,57.0,8.0
2023-08-05,37.7,59.7,2.6
2023-08-04,37.5,59.3,3.1
2023-08-03,33.0,56.0,11.0
2023-08-02,35.0,54.0,11.0
2023-07-31,41.2,57.0,1.9
2023-07-31,40.0,58.0,3.0
2023-07-29,34.7,62.6,2.7
2023-07-28,37.3,59.5,3.2
2023-07-27,35.0,55.0,10.0
2023-07-23,38.4,60.4,1.2
2023-07-22,35.7,61.9,2.4
2023-07-21,36.6,59.9,3.4
2023-07-20,33.0,58.0,9.0
2023-07-19,34.0,54.0,12.0
2023-07-17,38.3,59.5,2.1
2023-07-15,31.9,65.9,2.2
2023-07-14,38.1,58.9,3.0
2023-07-13,32.0,57.0,11.0
2023-07-10,36.3,61.6,2.0
2023-07-07,39.1,58.0,2.9
2023-07-06,38.0,54.0,8.0
2023-07-05,38.0,51.0,10.0
2023-07-03,40.2,57.3,2.5
2023-07-01,36.5,61.6,1.9
2023-06-30,38.0,56.0,6.0
2023-06-30,42.0,55.1,2.8
2023-06-29,36.0,56.0,8.0
2023-06-24,37.0,60.2,2.8
2023-06-23,39.0,57.5,3.5
2023-06-22,36.0,57.0,8.0
2023-06-21,36.0,54.0,10.0
2023-06-19,41.6,56.8,1.6
2023-06-17,36.5,60.8,2.7
2023-06-16,38.7,58.0,3.3
2023-06-15,35.0,57.0,8.0
2023-06-12,37.9,58.4,3.6
2023-06-10,35.4,60.8,3.8
2023-06-09,38.3,59.0,2.7
2023-06-07,35.0,55.0,9.0
2023-06-05,39.3,58.8,1.9
2023-06-03,35.1,62.3,2.6
2023-06-02,39.8,57.4,2.8
2023-06-01,35.0,57.0,8.0
2023-05-31,36.0,59.0,4.0
2023-05-27,31.7,64.6,3.7
2023-05-26,40.0,56.7,3.3
2023-05-25,36.0,57.0,9.0
2023-05-24,36.0,56.0,8.0
2023-05-22,41.2,57.2,1.6
2023-05-20,34.9,61.9,3.2
2023-05-19,39.0,57.9,3.1
2023-05-18,37.0,56.0,7.0
2023-05-13,35.2,62.2,2.6
2023-05-12,36.8,60.8,2.4
2023-05-11,35.0,59.0,6.0
2023-05-10,36.0,55.0,9.0
2023-05-08,38.4,56.6,5.1
2023-05-08,38.1,60.4,1.5
2023-05-06,31.4,65.4,3.2
2023-05-04,34.6,62.5,2.9
2023-05-04,33.0,57.0,10.0
2023-04-30,35.0,62.0,3.0
2023-04-29,31.4,65.1,3.5
2023-04-28,34.5,62.6,2.8
2023-04-27,30.0,63.0,7.0
2023-04-26,32.0,57.0,11.0
2023-04-24,34.1,64.9,0.9
2023-04-22,31.1,64.8,4.1
2023-04-21,32.6,64.7,2.7
2023-04-20,31.0,60.0,9.0
2023-04-16,31.3,65.5,3.2
2023-04-14,33.6,63.4,3.0
2023-04-13,27.0,65.0,9.0
2023-04-12,34.0,57.0,9.0
2023-04-10,34.2,64.2,1.6
2023-04-10,35.2,63.3,1.5
2023-04-08,33.8,63.2,3.0
2023-04-07,36.4,61.0,2.6
2023-04-06,31.0,61.0,8.0
2023-04-01,33.2,62.7,4.1
2023-03-31,38.0,59.0,3.0
2023-03-31,36.7,61.6,1.6
2023-03-30,30.0,60.0,10.0
2023-03-29,33.0,60.0,7.0
2023-03-27,39.8,58.2,2.0
2023-03-25,33.3,63.5,3.2
2023-03-24,36.0,61.2,2.8
2023-03-23,34.0,58.0,8.0
2023-03-20,36.6,62.1,1.3
2023-03-18,33.3,63.7,3.0
2023-03-17,36.8,60.4,2.7
2023-03-16,33.0,60.0,7.0
2023-03-15,35.0,57.0,8.0
2023-03-13,39.6,58.9,1.5
2023-03-11,33.3,63.2,3.5
2023-03-10,38.9,58.9,2.3
2023-03-09,34.0,58.0,8.0
2023-03-06,44.1,53.8,2.2
2023-03-04,33.3,64.2,2.5
2023-03-03,42.9,53.2,3.9
2023-03-02,36.0,55.0,8.0
2023-03-01,37.0,51.0,12.0
2023-02-28,41.0,56.0,3.0
2023-02-27,38.1,60.3,1.6
2023-02-25,32.6,59.5,7.9
2023-02-24,40.4,57.0,2.7
2023-02-23,37.0,56.0,7.0
2023-02-18,36.5,56.4,7.1
2023-02-17,40.4,57.5,2.2
2023-02-16,35.0,58.0,8.0
2023-02-15,36.0,55.0,9.0
2023-02-13,39.3,59.1,1.6
2023-02-11,34.9,59.8,5.3
2023-02-10,36.9,60.3,2.8
2023-02-09,32.0,59.0,9.0
2023-02-06,41.4,56.0,2.6
2023-02-04,35.2,59.8,5.0
2023-02-03,39.3,57.8,2.9
2023-02-02,34.0,56.0,10.0
2023-02-01,36.0,55.0,9.0
2023-01-31,37.0,61.0,3.0
2023-01-30,40.3,57.9,1.8
2023-01-28,37.4,56.0,6.6
2023-01-27,37.0,59.8,3.2
2023-01-20,36.3,54.7,9.0
2023-01-20,38.7,58.8,2.5
2023-01-19,37.5,54.8,7.8
2023-01-19,36.0,55.0,10.0
2023-01-16,42.4,55.9,1.6
2023-01-13,39.3,58.4,2.3
2023-01-12,35.0,57.0,9.0
2023-01-11,37.0,54.0,9.0
2023-01-09,38.0,58.0,4.0
2023-01-07,32.4,61.6,6.0
2023-01-06,40.9,55.9,3.1
2023-01-05,37.0,54.0,9.0
2023-01-02,39.5,57.8,2.7
2022-12-31,36.8,54.7,8.5
2022-12-31,39.0,58.0,3.0
2022-12-30,40.0,57.2,2.8
2022-12-28,34.0,56.0,10.0
2022-12-23,41.2,56.6,2.2
2022-12-21,40.2,58.1,1.7
2022-12-19,41.8,56.1,2.0
2022-12-19,39.7,59.4,0.9
2022-12-17,34.6,59.3,6.1
2022-12-16,41.1,56.8,2.1
2022-12-15,36.0,56.0,8.0
2022-12-14,34.0,56.0,10.0
2022-12-09,38.4,58.8,2.8
2022-12-08,33.0,59.0,8.0
2022-12-05,38.4,60.2,1.4
2022-12-02,38.9,58.9,2.2
2022-12-01,31.0,60.0,9.0
2022-11-30,36.0,61.0,3.0
2022-11-30,32.0,60.0,8.0
2022-11-26,31.6,64.3,4.2
2022-11-25,36.4,60.8,2.8
2022-11-24,30.0,62.0,7.0
2022-11-21,35.5,63.7,0.9
2022-11-18,33.4,63.8,2.8
2022-11-17,29.0,61.0,10.0
2022-11-16,29.0,62.0,9.0
2022-11-11,34.6,63.4,2.0
2022-11-10,30.0,62.0,8.0
2022-11-07,33.6,63.6,2.7
2022-11-07,34.4,65.1,0.5
2022-11-04,34.2,62.4,3.4
2022-11-03,29.0,63.0,9.0
2022-11-02,31.0,60.0,9.0
2022-10-31,35.0,63.0,2.0
2022-10-29,31.8,61.4,6.8
2022-10-28,35.7,61.7,2.6
2022-10-27,30.0,62.0,8.0
2022-10-24,33.0,65.7,1.4
2022-10-21,32.9,64.4,2.8
2022-10-20,27.0,65.0,8.0
2022-10-19,31.0,59.0,10.0
2022-10-14,33.1,64.2,2.7
2022-10-13,28.0,63.0,9.0
2022-10-10,31.3,67.0,1.7
2022-10-10,31.9,67.2,0.9
2022-10-07,32.0,65.8,2.2
2022-10-06,29.0,63.0,8.0
2022-10-05,29.0,65.0,7.0
2022-09-30,33.0,65.0,2.0
2022-09-30,31.2,66.0,2.8
2022-09-29,24.0,65.0,11.0
2022-09-26,27.7,71.3,1.0
2022-09-23,34.6,62.2,3.2
2022-09-22,28.0,61.0,11.0
2022-09-21,32.0,60.0,8.0
2022-09-19,37.8,60.0,2.1
2022-09-16,34.4,63.2,2.4
2022-09-15,33.0,59.0,8.0
2022-09-08,32.6,64.6,2.8
2022-09-07,32.0,59.0,9.0
2022-09-04,31.4,66.8,1.8
2022-09-02,32.3,64.9,2.8
2022-09-01,27.0,63.0,10.0
2022-08-31,33.0,65.0,2.0
2022-08-30,34.1,64.4,1.5
2022-08-26,33.6,63.3,3.1
2022-08-25,27.0,64.0,10.0
2022-08-24,32.0,63.0,5.0
2022-08-19,32.2,65.8,2.0
2022-08-18,28.0,64.0,8.0
2022-08-13,29.7,68.6,1.8
2022-08-12,30.4,67.2,2.4
2022-08-11,25.0,66.0,8.0
2022-08-10,28.0,65.0,7.0
2022-08-08,31.0,67.0,2.1
2022-08-06,27.5,70.1,2.4
2022-08-05,29.3,67.8,2.9
2022-08-04,24.0,66.0,10.0
2022-08-01,29.8,67.4,2.7
2022-07-31,30.0,68.0,2.0
2022-07-30,28.9,68.5,2.6
2022-07-29,33.1,64.5,2.3
2022-07-28,28.0,62.0,11.0
2022-07-27,34.0,54.0,12.0
2022-07-23,32.2,64.5,3.4
2022-07-22,33.3,63.4,3.3
2022-07-21,32.0,60.0,9.0
2022-07-18,32.9,65.2,1.9
2022-07-16,32.0,63.7,4.3
2022-07-15,33.4,63.3,3.3
2022-07-14,32.0,53.0,15.0
2022-07-13,33.0,53.0,14.0
2022-07-11,37.8,59.2,3.1
2022-07-09,34.5,60.8,4.7
2022-07-08,37.0,57.0,6.0
2022-07-07,37.0,49.0,14.0
2022-07-04,42.6,53.0,4.4
2022-07-04,45.9,52.6,1.5
2022-07-02,42.8,51.9,5.4
2022-07-01,44.4,50.2,5.4
2022-06-30,45.0,51.0,5.0
2022-06-30,43.0,42.0,15.0
2022-06-29,45.0,37.0,19.0
2022-06-28,45.3,49.8,4.9
2022-06-25,46.8,47.4,5.9
2022-06-24,46.6,47.7,5.4
2022-06-23,47.0,38.0,15.0
2022-06-21,47.6,47.9,4.6
2022-06-20,48.6,48.7,2.7
2022-06-18,49.4,44.8,5.7
2022-06-17,48.0,45.4,6.6
2022-06-16,49.0,38.0,14.0
2022-06-15,49.0,32.0,19.0
2022-06-13,51.2,42.1,6.7
2022-06-13,52.5,42.9,4.6
2022-06-11,50.3,42.6,7.1
2022-06-10,48.0,45.4,6.6
2022-06-09,53.0,33.0,14.0
2022-06-06,52.1,40.2,7.6
2022-06-06,54.4,41.7,3.9
2022-06-03,52.1,40.3,7.6
2022-06-02,53.0,34.0,13.0
2022-06-01,54.0,27.0,20.0
2022-05-30,53.0,40.0,7.0
2022-05-28,56.3,36.1,7.6
2022-05-27,52.1,40.3,7.6
2022-05-23,52.7,42.8,4.5
2022-05-20,52.1,40.6,7.3
2022-05-19,51.0,34.0,15.0
2022-05-18,48.0,29.0,23.0
2022-05-16,50.3,43.3,6.3
2022-05-14,50.1,42.7,7.2
2022-05-13,51.2,44.2,4.6
2022-05-12,52.0,37.0,12.0
